region,pill,prescriptions_invoiced
ALT PIRINEU i ARAN,Derivados de la benzodiazepina,836773
ALTRES,Derivados del acido propionico,18271
BARCELONA,Derivados de la benzodiazepina,46213949
BARCELONA CIUTAT,Anilidas,2500289
BARCELONA METROPOLITANA NORD,Anilidas,3575831
BARCELONA METROPOLITANA SUD,Anilidas,1986139
CAMP DE TARRAGONA,Derivados de la benzodiazepina,6735964
CATALUNYA CENTRAL,Derivados de la benzodiazepina,7158885
GIRONA,Derivados de la benzodiazepina,8889005
LLEIDA,Derivados de la benzodiazepina,4644699
PENEDÃˆS,Derivados de la benzodiazepina,805797
SENSE ESPECIFICAR,Derivados de la benzodiazepina,445508
TERRES DE L'EBRE,Derivados de la benzodiazepina,2347666
